timestamp,lat,lon,incident_coords,incident_count,incident_magnitudes,incident_delays,incident_roads,incident_id,icon_category,start_time,end_time,from_location,to_location,length,time_validity,probability,num_reports,last_report,tmc_countryCode,tmc_tableNumber,tmc_tableVersion,tmc_direction,event_descriptions,avg_speed,free_flow_speed,jam_factor,temp,wind,rain
2025-09-10T22:57:06,48.875309272,2.3157843534,"[[2.3157843534, 48.875309272]]",1,[0],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38517506568013000,9,2025-06-08 13:22:00+02:00,2025-12-12 23:55:00+01:00,Boulevard Haussmann,Rue La Boétie,108.9761490671,present,probable,,,,,,,['Roadworks'],21,21,1.0,16.38,5.66,0.0
2025-09-10T22:57:16,48.8743289252,2.3158460442,"[[2.3158460442, 48.8743289252]]",1,[0],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38517506424005000,9,2025-07-27 20:14:35+02:00,2025-12-12 23:55:00+01:00,Boulevard Haussmann (Rue de Miromesnil),Rue La Boétie (Rue de Miromesnil),44.6630136647,present,probable,,,F,32,12.1,positive,['Roadworks'],23,23,1.0,16.38,5.66,0.0
2025-09-10T22:57:26,48.8778117345,2.3167070333,"[[2.3167070333, 48.8778117345]]",1,[0],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38517506532014000,9,2025-09-10 14:12:12+02:00,,Boulevard Malesherbes,Rue de Madrid / Rue du Général Foy,105.3193589579,present,probable,,,,,,,['Roadworks'],25,25,1.0,16.38,5.66,0.0
2025-09-10T22:57:37,48.9008264778,2.3220634047,"[[2.3220634047, 48.9008264778]]",1,[0],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38497308488015000,9,2025-09-10 19:00:07+02:00,2025-09-11 04:00:00+02:00,Boulevard Périphérique / Rue Hélène et François Missoffe,Rue Fructidor,52.672262291,present,probable,,,,,,,['Roadworks'],59,59,1.0,16.38,5.66,0.0
2025-09-10T22:57:47,48.8935724137,2.3226977471,"[[2.3226977471, 48.8935724137]]",1,[4],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38503079436021000,8,2025-09-09 04:43:30+02:00,,Rue Sauffroy / Rue de la Jonquière,Boulevard Bessières / Rue Jacques Kellner,218.4912337085,present,probable,,,,,,,['Closed'],22,22,1.0,16.38,5.66,0.0
2025-09-10T22:57:57,48.895309156,2.324095178,"[[2.324095178, 48.895309156]]",1,[4],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38503079436013000,8,2025-09-09 08:55:57+02:00,2025-09-26 17:00:00+02:00,Rue de la Jonquière - Rue Sauffroy (Rue Lantiez),Rue Navier (Rue Lantiez),69.0657853917,present,certain,,,F,32,12.1,positive,"['Closed', 'Roadworks']",12,12,1.0,16.38,5.66,0.0
2025-09-15T11:12:35,48.8979631978,2.27945115,"[[2.27945115, 48.8979631978]]",1,[3],[134],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38494423068023000,6,2025-09-15 12:47:09+02:00,2025-09-15 13:31:00+02:00,Avenue Georges Pompidou,Rue Baudin,192.862,present,certain,,,,,,,['Stationary traffic'],45,45,1.0,19.23,8.75,0.0
2025-09-15T11:15:07,48.8979631978,2.27945115,"[[2.27945115, 48.8979631978]]",1,[3],[134],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38494423068023000,6,2025-09-15 12:47:09+02:00,2025-09-15 13:33:00+02:00,Avenue Georges Pompidou,Rue Baudin,192.862,present,certain,,,,,,,['Stationary traffic'],45,45,1.0,19.23,8.75,0.0
2025-09-15T11:15:28,48.8813858024,2.2823331836,"[[2.2823331836, 48.8813858024]]",1,[2],[187],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38508850120012000,6,2025-09-15 12:59:30+02:00,2025-09-15 13:34:00+02:00,Rue Gustave Charpentier - Avenue du Roule (Avenue de la Porte des Ternes),Place du Général Kœnig - Boulevard Gouvion-Saint-Cyr (Avenue de la Porte des Ternes),225.407104721,present,certain,,,F,32,12.1,negative,['Queuing traffic'],7,17,2.4615384615384617,19.23,8.75,0.0
2025-09-15T11:15:38,48.8799575399,2.2886551503,"[[2.2886551503, 48.8799575399]]",1,[2],[159],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38511735668012004,6,2025-09-15 13:08:00+02:00,2025-09-15 13:33:00+02:00,Avenue Mac-Mahon - Avenue Niel (Avenue des Ternes),Place du Général Kœnig - Boulevard Gouvion-Saint-Cyr (Avenue des Ternes),255.6728558255,present,certain,,,F,32,12.1,negative,['Queuing traffic'],14,20,1.4367816091954022,19.23,8.75,0.0
2025-09-15T11:15:48,48.8890381166,2.2904629592,"[[2.2904629592, 48.8890381166]]",1,[4],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38503079292014000,8,2025-09-15 06:04:00+02:00,,Rue Jacques Ibert (D17),Rue du Président Wilson,193.7700344315,present,probable,,,,,,,['Closed'],29,29,1.0,19.23,8.75,0.0
2025-09-15T11:15:58,48.8993270837,2.2933972958,"[[2.2933972958, 48.8993270837]]",1,[0],[None],[['D909']],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38497308612014000,9,2025-09-15 08:40:11+02:00,,Paris - Boulevard Périphérique (D909),Clichy-la-Garenne - D1 (D909),121.6226797342,present,probable,,,F,32,12.1,positive,['Roadworks'],14,14,1.0,19.23,8.75,0.0
2025-09-15T11:16:08,48.8814313875,2.3016330186,"[[2.3016330186, 48.8814313875]]",1,[2],[81],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38514621080015000,6,2025-09-15 13:02:37+02:00,2025-09-15 13:33:00+02:00,Rue Cardinet,Rue Médéric,143.2375899749,present,certain,,,,,,,['Queuing traffic'],13,21,1.623456790123457,19.23,8.75,0.0
2025-09-15T11:16:19,48.8978505675,2.3079885129,"[[2.3079885129, 48.8978505675]]",1,[4],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38500193972023001,8,2025-09-15 11:25:00+02:00,2025-09-15 16:30:00+02:00,Boulevard Jean Jaurès (D911),Rue Martre (D19) / Rue du 8 Mai 1945 (D19),178.5919270977,present,certain,,,,,,,"['Closed', 'Roadworks']",14,22,1.5783132530120483,19.23,8.75,0.0
2025-09-15T11:16:29,48.900953868,2.3146041814,"[[2.3146041814, 48.900953868]]",1,[4],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38494423136015001,8,2025-09-15 08:00:39+02:00,2025-09-15 18:00:00+02:00,Boulevard Victor Hugo (D912),Rue Klock,58.3914608889,present,certain,,,,,,,"['Closed', 'Roadworks']",6,14,2.3536585365853657,19.23,8.75,0.0
